Player,Pos,Salary,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
Armoni Brooks,SG,1625991.00 ,22.00 ,HOU,20.00 ,5.00 ,26.00 ,3.90 ,9.60 ,0.41 ,3.00 ,7.90 ,0.38 ,0.90 ,1.80 ,0.51 ,0.56 ,0.40 ,0.60 ,0.58 ,0.50 ,2.90 ,3.40 ,1.50 ,0.60 ,0.30 ,1.10 ,1.70 ,11.20 ,9.40 
Dillon Brooks,SF,12200000.00 ,25.00 ,MEM,67.00 ,67.00 ,29.80 ,6.40 ,15.40 ,0.42 ,1.90 ,5.60 ,0.34 ,4.50 ,9.80 ,0.46 ,0.48 ,2.40 ,2.90 ,0.82 ,0.80 ,2.10 ,2.90 ,2.30 ,1.20 ,0.40 ,1.80 ,3.50 ,17.20 ,11.00 
Bruce Brown,PG,4736102.00 ,24.00 ,BRK,65.00 ,37.00 ,22.30 ,3.60 ,6.50 ,0.56 ,0.30 ,0.90 ,0.29 ,3.40 ,5.60 ,0.60 ,0.58 ,1.30 ,1.80 ,0.74 ,1.70 ,3.70 ,5.40 ,1.60 ,0.90 ,0.40 ,0.80 ,2.20 ,8.80 ,11.50 
Charlie Brown Jr.,SG,0.00 ,23.00 ,OKC,9.00 ,1.00 ,16.90 ,1.40 ,4.80 ,0.30 ,0.60 ,2.30 ,0.24 ,0.90 ,2.40 ,0.36 ,0.36 ,1.00 ,1.10 ,0.90 ,0.30 ,1.60 ,1.90 ,1.00 ,0.40 ,0.20 ,0.70 ,2.10 ,4.40 ,2.30 
Jaylen Brown,SG,24830357.00 ,24.00 ,BOS,58.00 ,58.00 ,34.50 ,9.30 ,19.20 ,0.48 ,2.80 ,7.10 ,0.40 ,6.50 ,12.10 ,0.54 ,0.56 ,3.30 ,4.30 ,0.76 ,1.20 ,4.80 ,6.00 ,3.40 ,1.20 ,0.60 ,2.70 ,2.90 ,24.70 ,22.10 
Moses Brown,C,1720779.00 ,21.00 ,OKC,43.00 ,32.00 ,21.40 ,3.40 ,6.20 ,0.55 ,0.00 ,0.00 ,,3.40 ,6.20 ,0.55 ,0.55 ,1.80 ,2.90 ,0.62 ,3.60 ,5.30 ,8.90 ,0.20 ,0.70 ,1.10 ,1.00 ,2.20 ,8.60 ,13.40 
Sterling Brown,SG,3000000.00 ,25.00 ,HOU,51.00 ,14.00 ,24.10 ,2.90 ,6.60 ,0.45 ,1.80 ,4.20 ,0.42 ,1.20 ,2.40 ,0.49 ,0.58 ,0.50 ,0.60 ,0.81 ,0.70 ,3.60 ,4.40 ,1.40 ,0.70 ,0.20 ,0.80 ,1.90 ,8.20 ,9.20 
Troy Brown Jr.,SF,5170564.00 ,21.00 ,TOT,34.00 ,0.00 ,15.40 ,1.80 ,4.20 ,0.43 ,0.60 ,2.10 ,0.31 ,1.20 ,2.20 ,0.54 ,0.51 ,0.40 ,0.60 ,0.71 ,0.60 ,2.50 ,3.10 ,0.90 ,0.30 ,0.20 ,0.60 ,1.40 ,4.70 ,5.20 
Troy Brown Jr.,SF,5170564.00 ,21.00 ,WAS,21.00 ,0.00 ,13.70 ,1.60 ,4.20 ,0.37 ,0.70 ,2.20 ,0.30 ,0.90 ,2.00 ,0.44 ,0.45 ,0.50 ,0.70 ,0.67 ,0.50 ,2.40 ,2.90 ,0.90 ,0.10 ,0.20 ,0.80 ,1.40 ,4.30 ,4.20 
Troy Brown Jr.,SF,5170564.00 ,21.00 ,CHI,13.00 ,0.00 ,18.20 ,2.20 ,4.20 ,0.53 ,0.60 ,1.80 ,0.33 ,1.60 ,2.40 ,0.68 ,0.60 ,0.40 ,0.50 ,0.83 ,0.70 ,2.70 ,3.40 ,0.80 ,0.50 ,0.20 ,0.40 ,1.50 ,5.50 ,6.80 
Jalen Brunson,PG,1802057.00 ,24.00 ,DAL,68.00 ,12.00 ,25.00 ,4.80 ,9.20 ,0.52 ,1.20 ,2.90 ,0.41 ,3.60 ,6.30 ,0.58 ,0.59 ,1.80 ,2.20 ,0.80 ,0.40 ,3.00 ,3.40 ,3.50 ,0.50 ,0.00 ,1.20 ,1.60 ,12.60 ,13.60 
Elijah Bryant,SG,#N/A,25.00 ,MIL,1.00 ,0.00 ,32.00 ,6.00 ,13.00 ,0.46 ,1.00 ,5.00 ,0.20 ,5.00 ,8.00 ,0.63 ,0.50 ,3.00 ,3.00 ,1.00 ,2.00 ,4.00 ,6.00 ,3.00 ,0.00 ,1.00 ,4.00 ,4.00 ,16.00 ,15.00 
Thomas Bryant,C,8730159.00 ,23.00 ,WAS,10.00 ,10.00 ,27.10 ,5.90 ,9.10 ,0.65 ,0.90 ,2.10 ,0.43 ,5.00 ,7.00 ,0.71 ,0.70 ,1.60 ,2.40 ,0.67 ,1.80 ,4.30 ,6.10 ,1.50 ,0.40 ,0.80 ,1.10 ,3.10 ,14.30 ,16.00 
Reggie Bullock,SF,9536000.00 ,29.00 ,NYK,65.00 ,64.00 ,30.00 ,3.80 ,8.60 ,0.44 ,2.50 ,6.10 ,0.41 ,1.30 ,2.50 ,0.52 ,0.59 ,0.80 ,0.80 ,0.91 ,0.20 ,3.20 ,3.40 ,1.50 ,0.80 ,0.20 ,0.70 ,2.20 ,10.90 ,9.80 
Trey Burke,PG,3333333.00 ,28.00 ,DAL,62.00 ,1.00 ,14.70 ,2.40 ,5.70 ,0.43 ,0.90 ,2.60 ,0.35 ,1.50 ,3.00 ,0.49 ,0.51 ,0.80 ,0.90 ,0.90 ,0.20 ,0.70 ,0.90 ,1.30 ,0.60 ,0.10 ,0.50 ,1.00 ,6.60 ,5.10 
Alec Burks,SG,9536000.00 ,29.00 ,NYK,49.00 ,5.00 ,25.60 ,4.30 ,10.20 ,0.42 ,2.10 ,5.00 ,0.42 ,2.20 ,5.20 ,0.43 ,0.52 ,2.10 ,2.40 ,0.86 ,0.40 ,4.20 ,4.60 ,2.20 ,0.60 ,0.30 ,1.00 ,2.10 ,12.70 ,12.10 
Jimmy Butler,SF,36016200.00 ,31.00 ,MIA,52.00 ,52.00 ,33.60 ,7.00 ,14.20 ,0.50 ,0.50 ,2.00 ,0.25 ,6.60 ,12.20 ,0.54 ,0.51 ,6.90 ,8.00 ,0.86 ,1.80 ,5.10 ,6.90 ,7.10 ,2.10 ,0.30 ,2.10 ,1.40 ,21.50 ,28.20 
Bruno Caboclo,PF,#N/A,25.00 ,HOU,6.00 ,0.00 ,6.00 ,1.30 ,2.80 ,0.47 ,0.00 ,0.80 ,0.00 ,1.30 ,2.00 ,0.67 ,0.47 ,0.20 ,0.30 ,0.50 ,0.50 ,1.80 ,2.30 ,0.20 ,0.00 ,0.30 ,0.70 ,1.00 ,2.80 ,3.00 
Devontae Cacok,PF,364533.00 ,24.00 ,LAL,20.00 ,1.00 ,4.90 ,0.90 ,1.50 ,0.59 ,0.00 ,0.00 ,,0.90 ,1.50 ,0.59 ,0.59 ,0.30 ,0.60 ,0.46 ,0.60 ,1.00 ,1.60 ,0.10 ,0.30 ,0.20 ,0.30 ,0.40 ,2.00 ,2.90 
Kentavious Caldwell-Pope,SG,13038862.00 ,27.00 ,LAL,67.00 ,67.00 ,28.40 ,3.30 ,7.60 ,0.43 ,1.80 ,4.40 ,0.41 ,1.50 ,3.20 ,0.46 ,0.55 ,1.40 ,1.70 ,0.87 ,0.40 ,2.30 ,2.70 ,1.90 ,0.90 ,0.40 ,1.00 ,1.70 ,9.70 ,9.30 
Facundo Campazzo,PG,3804150.00 ,29.00 ,DEN,65.00 ,19.00 ,21.90 ,1.80 ,4.80 ,0.38 ,1.20 ,3.30 ,0.35 ,0.70 ,1.50 ,0.44 ,0.50 ,1.20 ,1.40 ,0.88 ,0.30 ,1.70 ,2.10 ,3.60 ,1.20 ,0.20 ,1.10 ,2.00 ,6.10 ,8.00 
Vlatko Čančar,PF,1782621.00 ,23.00 ,DEN,41.00 ,1.00 ,6.90 ,0.80 ,1.80 ,0.46 ,0.20 ,0.80 ,0.27 ,0.60 ,1.00 ,0.62 ,0.52 ,0.20 ,0.30 ,0.77 ,0.30 ,1.00 ,1.20 ,0.30 ,0.30 ,0.00 ,0.30 ,0.40 ,2.10 ,2.40 
Devin Cannady,PG,100000.00 ,24.00 ,ORL,8.00 ,0.00 ,9.30 ,1.40 ,3.50 ,0.39 ,0.80 ,2.00 ,0.38 ,0.60 ,1.50 ,0.42 ,0.50 ,0.80 ,0.90 ,0.86 ,0.00 ,0.60 ,0.60 ,0.10 ,0.60 ,0.10 ,0.30 ,1.10 ,4.30 ,2.40 
Clint Capela,C,17103448.00 ,26.00 ,ATL,63.00 ,63.00 ,30.10 ,6.60 ,11.00 ,0.59 ,0.00 ,0.00 ,,6.60 ,11.00 ,0.59 ,0.59 ,2.10 ,3.60 ,0.57 ,4.70 ,9.60 ,14.30 ,0.80 ,0.70 ,2.00 ,1.20 ,2.30 ,15.20 ,24.80 
Vernon Carey Jr.,C,1517981.00 ,19.00 ,CHO,19.00 ,4.00 ,6.10 ,0.90 ,1.90 ,0.50 ,0.10 ,0.40 ,0.14 ,0.90 ,1.50 ,0.59 ,0.51 ,0.50 ,0.60 ,0.82 ,0.30 ,1.10 ,1.40 ,0.10 ,0.10 ,0.30 ,0.30 ,0.70 ,2.40 ,2.50 
Jevon Carter,PG,4107149.00 ,25.00 ,PHO,60.00 ,1.00 ,12.00 ,1.60 ,3.70 ,0.42 ,0.90 ,2.50 ,0.37 ,0.60 ,1.20 ,0.53 ,0.55 ,0.10 ,0.10 ,0.57 ,0.30 ,1.30 ,1.50 ,1.20 ,0.50 ,0.20 ,0.30 ,0.90 ,4.10 ,4.50 
Wendell Carter Jr.,C,6920027.00 ,21.00 ,TOT,54.00 ,44.00 ,25.50 ,4.30 ,8.50 ,0.50 ,0.30 ,0.90 ,0.29 ,4.00 ,7.50 ,0.53 ,0.52 ,2.40 ,3.30 ,0.73 ,2.40 ,5.80 ,8.20 ,1.90 ,0.60 ,0.80 ,1.40 ,2.70 ,11.20 ,14.90 
Wendell Carter Jr.,C,6920027.00 ,21.00 ,CHI,32.00 ,25.00 ,24.80 ,4.00 ,7.90 ,0.51 ,0.30 ,0.70 ,0.36 ,3.80 ,7.20 ,0.53 ,0.53 ,2.60 ,3.50 ,0.74 ,2.20 ,5.60 ,7.80 ,2.20 ,0.60 ,0.80 ,1.50 ,3.00 ,10.90 ,14.50 
Wendell Carter Jr.,C,6920027.00 ,21.00 ,ORL,22.00 ,19.00 ,26.50 ,4.60 ,9.30 ,0.49 ,0.30 ,1.30 ,0.24 ,4.30 ,8.00 ,0.53 ,0.51 ,2.20 ,3.10 ,0.72 ,2.80 ,6.00 ,8.80 ,1.60 ,0.80 ,0.80 ,1.30 ,2.30 ,11.70 ,15.80 
Michael Carter-Williams,SG,3000000.00 ,29.00 ,ORL,31.00 ,25.00 ,25.80 ,3.40 ,8.70 ,0.39 ,0.50 ,2.00 ,0.25 ,2.90 ,6.70 ,0.43 ,0.42 ,1.60 ,2.60 ,0.61 ,1.30 ,3.20 ,4.50 ,4.20 ,0.80 ,0.50 ,2.20 ,2.60 ,8.80 ,9.90 
Alex Caruso,PG,8604651.00 ,26.00 ,LAL,58.00 ,6.00 ,21.00 ,2.30 ,5.30 ,0.44 ,0.90 ,2.40 ,0.40 ,1.30 ,2.90 ,0.46 ,0.53 ,0.80 ,1.30 ,0.65 ,0.50 ,2.40 ,2.90 ,2.80 ,1.10 ,0.30 ,1.30 ,1.90 ,6.40 ,8.10 
Willie Cauley-Stein,C,#N/A,27.00 ,DAL,53.00 ,16.00 ,17.10 ,2.20 ,3.40 ,0.63 ,0.00 ,0.20 ,0.09 ,2.20 ,3.20 ,0.67 ,0.64 ,0.90 ,1.50 ,0.63 ,1.20 ,3.20 ,4.50 ,0.70 ,0.40 ,0.80 ,0.50 ,2.40 ,5.30 ,7.50 
Chris Chiozza,PG,#N/A,25.00 ,BRK,22.00 ,1.00 ,10.50 ,1.40 ,4.00 ,0.35 ,0.60 ,1.90 ,0.31 ,0.80 ,2.10 ,0.39 ,0.43 ,0.60 ,0.80 ,0.77 ,0.10 ,1.00 ,1.10 ,3.00 ,0.30 ,0.30 ,0.70 ,0.90 ,4.00 ,5.00 
Marquese Chriss,PF,958529.00 ,23.00 ,GSW,2.00 ,0.00 ,13.50 ,2.50 ,7.00 ,0.36 ,0.50 ,2.50 ,0.20 ,2.00 ,4.50 ,0.44 ,0.39 ,1.00 ,2.00 ,0.50 ,1.50 ,5.00 ,6.50 ,1.00 ,0.00 ,1.00 ,1.00 ,1.50 ,6.50 ,8.00 
Gary Clark,PF-SF,377645.00 ,26.00 ,TOT,39.00 ,11.00 ,16.80 ,1.00 ,3.40 ,0.30 ,0.80 ,2.80 ,0.29 ,0.20 ,0.60 ,0.38 ,0.42 ,0.20 ,0.30 ,0.80 ,0.80 ,2.10 ,2.90 ,0.80 ,0.30 ,0.20 ,0.40 ,0.90 ,3.10 ,3.90 
Gary Clark,SF,377645.00 ,26.00 ,ORL,35.00 ,11.00 ,18.20 ,1.10 ,3.70 ,0.31 ,0.90 ,3.10 ,0.29 ,0.30 ,0.70 ,0.39 ,0.42 ,0.20 ,0.30 ,0.80 ,0.90 ,2.30 ,3.20 ,0.90 ,0.30 ,0.20 ,0.50 ,1.00 ,3.40 ,4.30 
Gary Clark,SF,377645.00 ,26.00 ,DEN,2.00 ,0.00 ,2.00 ,0.00 ,0.00 ,,0.00 ,0.00 ,,0.00 ,0.00 ,,,0.00 ,0.00 ,,0.00 ,0.50 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.50 
Gary Clark,PF,377645.00 ,26.00 ,PHI,2.00 ,0.00 ,6.50 ,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,,0.00 ,0.50 ,0.00 ,0.00 ,0.00 ,0.00 ,,0.00 ,1.00 ,1.00 ,0.50 ,0.50 ,0.00 ,0.00 ,0.50 ,0.00 ,1.00 
Brandon Clarke,PF,2726880.00 ,24.00 ,MEM,59.00 ,16.00 ,24.00 ,4.30 ,8.40 ,0.52 ,0.30 ,1.30 ,0.26 ,4.00 ,7.10 ,0.57 ,0.54 ,1.30 ,1.90 ,0.69 ,1.60 ,3.90 ,5.60 ,1.60 ,1.00 ,0.90 ,0.60 ,1.40 ,10.30 ,13.30 
Jordan Clarkson,SG,12420000.00 ,28.00 ,UTA,68.00 ,1.00 ,26.70 ,6.70 ,15.80 ,0.43 ,3.10 ,8.80 ,0.35 ,3.70 ,7.00 ,0.52 ,0.52 ,1.90 ,2.10 ,0.90 ,0.70 ,3.30 ,4.00 ,2.50 ,0.90 ,0.10 ,1.70 ,1.60 ,18.40 ,15.00 
Nic Claxton,C,1782621.00 ,21.00 ,BRK,32.00 ,1.00 ,18.60 ,2.80 ,4.50 ,0.62 ,0.00 ,0.20 ,0.20 ,2.80 ,4.40 ,0.64 ,0.62 ,1.00 ,2.00 ,0.48 ,1.30 ,3.80 ,5.20 ,0.90 ,0.70 ,1.30 ,0.60 ,2.10 ,6.60 ,9.90 
Amir Coffey,SG,153488.00 ,23.00 ,LAC,44.00 ,1.00 ,9.00 ,1.00 ,2.30 ,0.44 ,0.50 ,1.30 ,0.41 ,0.50 ,1.10 ,0.47 ,0.55 ,0.60 ,0.90 ,0.71 ,0.20 ,0.80 ,1.00 ,0.50 ,0.20 ,0.00 ,0.30 ,0.70 ,3.20 ,2.60 
John Collins,PF,23000000.00 ,23.00 ,ATL,63.00 ,63.00 ,29.30 ,6.80 ,12.20 ,0.56 ,1.30 ,3.30 ,0.40 ,5.50 ,8.90 ,0.62 ,0.61 ,2.70 ,3.20 ,0.83 ,1.90 ,5.50 ,7.40 ,1.20 ,0.50 ,1.00 ,1.30 ,3.10 ,17.60 ,18.70 
Mike Conley,PG,21000000.00 ,33.00 ,UTA,51.00 ,51.00 ,29.40 ,5.60 ,12.50 ,0.44 ,2.70 ,6.60 ,0.41 ,2.90 ,6.00 ,0.48 ,0.55 ,2.40 ,2.80 ,0.85 ,0.70 ,2.80 ,3.50 ,6.00 ,1.40 ,0.20 ,1.90 ,1.90 ,16.20 ,18.10 
Pat Connaughton,SG,5333333.00 ,28.00 ,MIL,69.00 ,4.00 ,22.80 ,2.40 ,5.60 ,0.43 ,1.50 ,3.90 ,0.37 ,1.00 ,1.70 ,0.58 ,0.57 ,0.40 ,0.60 ,0.78 ,0.90 ,3.90 ,4.80 ,1.20 ,0.70 ,0.30 ,0.50 ,1.40 ,6.80 ,9.00 
Quinn Cook,PG,#N/A,27.00 ,TOT,23.00 ,0.00 ,6.80 ,1.30 ,3.00 ,0.43 ,0.50 ,1.10 ,0.42 ,0.80 ,1.80 ,0.43 ,0.51 ,0.30 ,0.30 ,0.88 ,0.10 ,0.70 ,0.70 ,0.80 ,0.20 ,0.00 ,0.30 ,0.40 ,3.30 ,2.90 
Quinn Cook,PG,#N/A,27.00 ,LAL,16.00 ,0.00 ,3.90 ,0.80 ,1.60 ,0.46 ,0.30 ,0.80 ,0.39 ,0.40 ,0.80 ,0.54 ,0.56 ,0.30 ,0.30 ,0.80 ,0.00 ,0.30 ,0.30 ,0.30 ,0.10 ,0.10 ,0.20 ,0.10 ,2.10 ,2.00 
Quinn Cook,PG,#N/A,27.00 ,CLE,7.00 ,0.00 ,13.60 ,2.40 ,6.00 ,0.41 ,0.90 ,1.90 ,0.46 ,1.60 ,4.10 ,0.38 ,0.48 ,0.40 ,0.40 ,1.00 ,0.30 ,1.40 ,1.70 ,1.90 ,0.40 ,0.00 ,0.60 ,1.10 ,6.10 ,5.40 
Tyler Cook,SF-PF,#N/A,23.00 ,TOT,32.00 ,1.00 ,13.70 ,2.20 ,3.20 ,0.67 ,0.00 ,0.10 ,0.50 ,2.10 ,3.20 ,0.67 ,0.68 ,0.50 ,1.10 ,0.49 ,0.90 ,2.10 ,3.00 ,0.50 ,0.30 ,0.10 ,0.70 ,1.10 ,4.90 ,6.10 
Tyler Cook,PF,#N/A,23.00 ,BRK,4.00 ,0.00 ,4.30 ,0.30 ,0.80 ,0.33 ,0.00 ,0.00 ,,0.30 ,0.80 ,0.33 ,0.33 ,0.00 ,0.00 ,,0.30 ,0.30 ,0.50 ,0.50 ,0.00 ,0.00 ,0.30 ,0.50 ,0.50 ,0.50 
Tyler Cook,SF,#N/A,23.00 ,DET,28.00 ,1.00 ,15.00 ,2.40 ,3.60 ,0.68 ,0.00 ,0.10 ,0.50 ,2.40 ,3.50 ,0.68 ,0.69 ,0.60 ,1.30 ,0.49 ,1.00 ,2.40 ,3.30 ,0.50 ,0.30 ,0.10 ,0.70 ,1.20 ,5.50 ,6.60 
DeMarcus Cousins,C,1290481.00 ,30.00 ,TOT,41.00 ,11.00 ,17.40 ,3.20 ,7.40 ,0.43 ,1.10 ,3.30 ,0.35 ,2.00 ,4.10 ,0.49 ,0.50 ,1.40 ,2.00 ,0.73 ,1.30 ,5.10 ,6.40 ,1.90 ,0.80 ,0.60 ,1.60 ,2.60 ,8.90 ,11.20 
DeMarcus Cousins,C,1290481.00 ,30.00 ,HOU,25.00 ,11.00 ,20.20 ,3.20 ,8.40 ,0.38 ,1.60 ,4.60 ,0.34 ,1.60 ,3.80 ,0.43 ,0.47 ,1.80 ,2.40 ,0.75 ,1.20 ,6.40 ,7.60 ,2.40 ,0.80 ,0.70 ,1.60 ,3.00 ,9.60 ,12.30 
DeMarcus Cousins,C,1290481.00 ,30.00 ,LAC,16.00 ,0.00 ,12.90 ,3.20 ,5.90 ,0.54 ,0.50 ,1.20 ,0.42 ,2.70 ,4.80 ,0.57 ,0.58 ,0.90 ,1.40 ,0.68 ,1.40 ,3.10 ,4.50 ,1.00 ,0.80 ,0.40 ,1.60 ,2.10 ,7.80 ,9.20 
Robert Covington,PF,12975471.00 ,30.00 ,POR,70.00 ,70.00 ,32.00 ,2.90 ,7.30 ,0.40 ,1.90 ,5.10 ,0.38 ,1.00 ,2.20 ,0.45 ,0.53 ,0.70 ,0.90 ,0.81 ,0.90 ,5.80 ,6.70 ,1.70 ,1.40 ,1.20 ,0.90 ,2.80 ,8.50 ,12.10 
Torrey Craig,SF,4878049.00 ,30.00 ,TOT,50.00 ,8.00 ,16.10 ,2.20 ,4.50 ,0.48 ,0.80 ,2.10 ,0.37 ,1.40 ,2.40 ,0.58 ,0.57 ,0.30 ,0.40 ,0.77 ,1.10 ,2.80 ,3.90 ,1.00 ,0.60 ,0.50 ,0.50 ,1.70 ,5.50 ,7.40 
Torrey Craig,SF,4878049.00 ,30.00 ,MIL,18.00 ,0.00 ,11.20 ,1.00 ,2.60 ,0.39 ,0.40 ,1.20 ,0.36 ,0.60 ,1.30 ,0.42 ,0.48 ,0.10 ,0.10 ,0.50 ,0.70 ,1.70 ,2.40 ,0.90 ,0.50 ,0.40 ,0.30 ,1.30 ,2.50 ,3.80 
Torrey Craig,SF,4878049.00 ,30.00 ,PHO,32.00 ,8.00 ,18.80 ,2.80 ,5.70 ,0.50 ,1.00 ,2.60 ,0.37 ,1.90 ,3.00 ,0.62 ,0.59 ,0.50 ,0.60 ,0.80 ,1.40 ,3.40 ,4.80 ,1.00 ,0.60 ,0.60 ,0.60 ,1.80 ,7.20 ,9.40 
Jae Crowder,PF,9720900.00 ,30.00 ,PHO,60.00 ,42.00 ,27.50 ,3.30 ,8.20 ,0.40 ,2.50 ,6.30 ,0.39 ,0.90 ,1.90 ,0.46 ,0.56 ,1.00 ,1.30 ,0.76 ,0.50 ,4.20 ,4.70 ,2.10 ,0.80 ,0.50 ,0.90 ,2.10 ,10.10 ,10.90 
Jarrett Culver,SG,6395160.00 ,21.00 ,MIN,34.00 ,7.00 ,14.70 ,2.00 ,4.90 ,0.41 ,0.40 ,1.60 ,0.25 ,1.60 ,3.40 ,0.49 ,0.45 ,0.90 ,1.40 ,0.60 ,1.00 ,2.10 ,3.10 ,0.70 ,0.50 ,0.30 ,0.80 ,1.70 ,5.30 ,4.80 
Seth Curry,SG,8186047.00 ,30.00 ,PHI,57.00 ,57.00 ,28.70 ,4.50 ,9.70 ,0.47 ,2.20 ,4.90 ,0.45 ,2.30 ,4.80 ,0.49 ,0.58 ,1.20 ,1.40 ,0.90 ,0.20 ,2.20 ,2.40 ,2.70 ,0.80 ,0.10 ,1.10 ,1.70 ,12.50 ,11.40 
Stephen Curry,PG,45780966.00 ,32.00 ,GSW,63.00 ,63.00 ,34.20 ,10.40 ,21.70 ,0.48 ,5.30 ,12.70 ,0.42 ,5.10 ,9.00 ,0.57 ,0.61 ,5.70 ,6.30 ,0.92 ,0.50 ,5.00 ,5.50 ,5.80 ,1.20 ,0.10 ,3.40 ,1.90 ,32.00 ,30.80 
Nate Darling,SG,#N/A,22.00 ,CHO,7.00 ,0.00 ,3.70 ,0.30 ,1.00 ,0.29 ,0.30 ,1.00 ,0.29 ,0.00 ,0.00 ,,0.43 ,0.40 ,0.40 ,1.00 ,0.10 ,0.00 ,0.10 ,0.10 ,0.00 ,0.10 ,0.10 ,0.10 ,1.30 ,0.80 
Anthony Davis,PF,35361360.00 ,27.00 ,LAL,36.00 ,36.00 ,32.30 ,8.40 ,17.00 ,0.49 ,0.70 ,2.80 ,0.26 ,7.60 ,14.30 ,0.54 ,0.51 ,4.40 ,5.90 ,0.74 ,1.70 ,6.20 ,7.90 ,3.10 ,1.30 ,1.60 ,2.10 ,1.70 ,21.80 ,23.90 
Ed Davis,C,2641691.00 ,31.00 ,MIN,23.00 ,7.00 ,13.00 ,0.80 ,1.90 ,0.43 ,0.00 ,0.00 ,,0.80 ,1.90 ,0.43 ,0.43 ,0.40 ,0.50 ,0.83 ,2.00 ,3.00 ,5.00 ,0.90 ,0.60 ,0.60 ,0.30 ,2.40 ,2.10 ,5.60 
Terence Davis,SG,4000000.00 ,23.00 ,TOT,61.00 ,4.00 ,17.60 ,3.20 ,7.50 ,0.43 ,1.60 ,4.40 ,0.37 ,1.60 ,3.10 ,0.51 ,0.54 ,0.70 ,0.90 ,0.82 ,0.30 ,2.20 ,2.50 ,1.40 ,0.70 ,0.20 ,1.00 ,1.60 ,8.70 ,7.40 
Terence Davis,SG,4000000.00 ,23.00 ,TOR,34.00 ,4.00 ,14.50 ,2.60 ,6.20 ,0.41 ,1.30 ,3.60 ,0.36 ,1.30 ,2.60 ,0.49 ,0.52 ,0.50 ,0.50 ,0.89 ,0.30 ,1.70 ,1.90 ,1.10 ,0.50 ,0.20 ,0.90 ,1.40 ,6.90 ,5.60 
Terence Davis,SG,4000000.00 ,23.00 ,SAC,27.00 ,0.00 ,21.50 ,4.00 ,9.10 ,0.44 ,2.00 ,5.40 ,0.37 ,2.00 ,3.70 ,0.54 ,0.55 ,1.10 ,1.40 ,0.78 ,0.40 ,2.90 ,3.30 ,1.70 ,1.00 ,0.30 ,1.30 ,1.80 ,11.10 ,10.20 
Gabriel Deck,PF,1690507.00 ,25.00 ,OKC,10.00 ,0.00 ,21.20 ,3.20 ,6.70 ,0.48 ,0.20 ,1.50 ,0.13 ,3.00 ,5.20 ,0.58 ,0.49 ,1.80 ,2.20 ,0.82 ,1.60 ,2.40 ,4.00 ,2.40 ,0.80 ,0.00 ,0.60 ,0.90 ,8.40 ,10.80 
Dewayne Dedmon,C,5256308.00 ,31.00 ,MIA,16.00 ,0.00 ,13.10 ,2.90 ,4.10 ,0.71 ,0.10 ,0.30 ,0.20 ,2.80 ,3.80 ,0.75 ,0.72 ,1.30 ,1.70 ,0.74 ,1.80 ,3.60 ,5.40 ,0.80 ,0.60 ,0.40 ,0.80 ,2.30 ,7.10 ,10.40 
Matthew Dellavedova,PG,#N/A,30.00 ,CLE,13.00 ,1.00 ,17.20 ,1.10 ,4.30 ,0.25 ,0.30 ,1.90 ,0.16 ,0.80 ,2.40 ,0.32 ,0.29 ,0.30 ,0.30 ,1.00 ,0.50 ,1.40 ,1.80 ,4.50 ,0.30 ,0.10 ,0.50 ,1.60 ,2.80 ,4.70 
DeMar DeRozan,PF,26000000.00 ,31.00 ,SAS,61.00 ,61.00 ,33.70 ,7.50 ,15.10 ,0.50 ,0.30 ,1.20 ,0.26 ,7.10 ,13.90 ,0.52 ,0.51 ,6.30 ,7.20 ,0.88 ,0.70 ,3.60 ,4.20 ,6.90 ,0.90 ,0.20 ,2.00 ,2.10 ,21.60 ,23.20 
Mamadi Diakite,PF,#N/A,24.00 ,MIL,14.00 ,1.00 ,10.10 ,1.10 ,2.90 ,0.40 ,0.10 ,0.60 ,0.13 ,1.10 ,2.30 ,0.47 ,0.41 ,0.80 ,1.00 ,0.79 ,0.60 ,1.90 ,2.40 ,0.60 ,0.50 ,0.40 ,0.20 ,1.10 ,3.10 ,3.90 
Hamidou Diallo,SG-SF,5200000.00 ,22.00 ,TOT,52.00 ,9.00 ,23.60 ,4.30 ,9.00 ,0.48 ,0.50 ,1.60 ,0.34 ,3.80 ,7.50 ,0.51 ,0.51 ,2.50 ,3.80 ,0.64 ,1.10 ,4.10 ,5.20 ,1.90 ,0.80 ,0.50 ,1.50 ,2.60 ,11.60 ,11.40 
Hamidou Diallo,SG,5200000.00 ,22.00 ,OKC,32.00 ,5.00 ,23.80 ,4.50 ,9.30 ,0.48 ,0.40 ,1.30 ,0.29 ,4.10 ,8.00 ,0.51 ,0.50 ,2.60 ,4.10 ,0.63 ,1.20 ,4.00 ,5.20 ,2.40 ,1.00 ,0.40 ,1.50 ,2.60 ,11.90 ,12.00 
