Player,Pos,Salary,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER
Mo Bamba,C,7568742.00 ,22.00 ,ORL,46.00 ,5.00 ,15.80 ,3.10 ,6.50 ,0.47 ,0.80 ,2.60 ,0.32 ,2.30 ,4.00 ,0.57 ,0.54 ,1.00 ,1.40 ,0.68 ,1.70 ,4.10 ,5.80 ,0.80 ,0.30 ,1.30 ,0.80 ,1.90 ,8.00 ,10.50 
Desmond Bane,SG,2033160.00 ,22.00 ,MEM,68.00 ,17.00 ,22.30 ,3.40 ,7.30 ,0.47 ,1.70 ,4.00 ,0.43 ,1.70 ,3.40 ,0.51 ,0.59 ,0.60 ,0.70 ,0.82 ,0.50 ,2.60 ,3.10 ,1.70 ,0.60 ,0.20 ,0.90 ,1.80 ,9.20 ,9.00 
Harrison Barnes,PF,20284091.00 ,28.00 ,SAC,58.00 ,58.00 ,36.20 ,5.50 ,11.10 ,0.50 ,1.70 ,4.40 ,0.39 ,3.80 ,6.70 ,0.57 ,0.58 ,3.40 ,4.10 ,0.83 ,1.10 ,5.50 ,6.60 ,3.50 ,0.70 ,0.20 ,1.60 ,1.30 ,16.10 ,19.50 
RJ Barrett,SG,8623920.00 ,20.00 ,NYK,72.00 ,72.00 ,34.90 ,6.50 ,14.70 ,0.44 ,1.70 ,4.30 ,0.40 ,4.80 ,10.40 ,0.46 ,0.50 ,2.90 ,3.80 ,0.75 ,0.90 ,4.80 ,5.80 ,3.00 ,0.70 ,0.30 ,1.90 ,2.60 ,17.60 ,15.70 
Will Barton,SF,15384615.00 ,30.00 ,DEN,56.00 ,52.00 ,31.00 ,4.60 ,10.90 ,0.43 ,1.80 ,4.60 ,0.38 ,2.90 ,6.30 ,0.46 ,0.51 ,1.70 ,2.20 ,0.79 ,0.70 ,3.30 ,4.00 ,3.20 ,0.90 ,0.40 ,1.70 ,1.70 ,12.70 ,12.70 
Keita Bates-Diop,SF,1729217.00 ,25.00 ,SAS,30.00 ,0.00 ,8.20 ,1.00 ,2.20 ,0.45 ,0.20 ,0.60 ,0.29 ,0.80 ,1.70 ,0.50 ,0.49 ,0.50 ,0.70 ,0.67 ,0.30 ,1.30 ,1.60 ,0.40 ,0.40 ,0.20 ,0.20 ,0.40 ,2.60 ,3.40 
Nicolas Batum,SF,12213507.00 ,32.00 ,LAC,67.00 ,38.00 ,27.40 ,2.90 ,6.10 ,0.46 ,1.60 ,4.10 ,0.40 ,1.20 ,2.10 ,0.58 ,0.60 ,0.70 ,0.90 ,0.83 ,0.70 ,4.00 ,4.70 ,2.20 ,1.00 ,0.60 ,0.80 ,1.50 ,8.10 ,11.70 
Aron Baynes,C,#N/A,34.00 ,TOR,53.00 ,31.00 ,18.50 ,2.50 ,5.70 ,0.44 ,0.50 ,1.90 ,0.26 ,2.00 ,3.80 ,0.53 ,0.49 ,0.50 ,0.80 ,0.71 ,1.60 ,3.50 ,5.20 ,0.90 ,0.30 ,0.40 ,0.90 ,2.20 ,6.10 ,7.20 
Kent Bazemore,SF,2401537.00 ,31.00 ,GSW,67.00 ,18.00 ,19.90 ,2.60 ,5.90 ,0.45 ,1.10 ,2.70 ,0.41 ,1.50 ,3.10 ,0.49 ,0.55 ,0.80 ,1.20 ,0.69 ,0.40 ,3.00 ,3.40 ,1.60 ,1.00 ,0.50 ,1.20 ,2.40 ,7.20 ,7.60 
Darius Bazley,PF,2513040.00 ,20.00 ,OKC,55.00 ,55.00 ,31.20 ,5.00 ,12.50 ,0.40 ,1.50 ,5.20 ,0.29 ,3.50 ,7.30 ,0.47 ,0.46 ,2.30 ,3.20 ,0.70 ,0.90 ,6.30 ,7.20 ,1.80 ,0.50 ,0.50 ,2.20 ,1.10 ,13.70 ,14.20 
Bradley Beal,SG,34502130.00 ,27.00 ,WAS,60.00 ,60.00 ,35.80 ,11.20 ,23.00 ,0.49 ,2.20 ,6.20 ,0.35 ,9.00 ,16.80 ,0.54 ,0.53 ,6.80 ,7.70 ,0.89 ,1.20 ,3.50 ,4.70 ,4.40 ,1.20 ,0.40 ,3.10 ,2.30 ,31.30 ,27.00 
Malik Beasley,SG,14391964.00 ,24.00 ,MIN,37.00 ,36.00 ,32.80 ,7.10 ,16.20 ,0.44 ,3.50 ,8.70 ,0.40 ,3.70 ,7.50 ,0.49 ,0.55 ,1.80 ,2.20 ,0.85 ,0.80 ,3.60 ,4.40 ,2.40 ,0.80 ,0.20 ,1.60 ,1.70 ,19.60 ,16.20 
Jordan Bell,C,#N/A,26.00 ,TOT,6.00 ,1.00 ,13.70 ,1.20 ,3.70 ,0.32 ,0.00 ,0.30 ,0.00 ,1.20 ,3.30 ,0.35 ,0.32 ,0.20 ,0.30 ,0.50 ,1.20 ,2.80 ,4.00 ,1.20 ,0.50 ,0.80 ,0.70 ,1.20 ,2.50 ,5.20 
Jordan Bell,C,#N/A,26.00 ,WAS,5.00 ,1.00 ,13.40 ,1.40 ,4.00 ,0.35 ,0.00 ,0.40 ,0.00 ,1.40 ,3.60 ,0.39 ,0.35 ,0.00 ,0.00 ,,1.20 ,2.60 ,3.80 ,1.00 ,0.60 ,0.60 ,0.60 ,1.00 ,2.80 ,5.20 
